grid_id,segment_count,total_length_m
1213,385,134816.82249218668
1214,444,142101.924608351
1215,645,201391.93986973932
1216,499,174841.72816166593
1217,384,126655.60685806902
1218,286,90813.33369230325
1219,188,57874.12088022423
1220,138,55637.92496174705
1221,68,26105.533033152744
1222,82,25093.664585583774
1223,98,30504.37243639736
1224,200,48227.2652457935
1225,235,77361.71215113091
1226,354,95925.79896732268
1227,520,157149.1551005284
1228,356,104840.85890341063
1229,357,118059.83891920344
1230,433,147273.79133561935
1231,648,205628.67289769568
1232,554,166905.96767022507
1233,278,96389.89332017094
1234,221,78029.38350095677
1235,319,94724.4407971
1236,392,127955.38799774203
1237,133,42227.44201301437
1238,55,18562.593225249377
1239,131,39629.33553438038
1240,173,50229.92671534319
1241,53,20133.12235203452
1242,53,13939.55172031717
1243,35,14351.505707690012
1244,74,21062.672337033597
1245,46,11321.669411738441
1246,1,340.6218976789917
1247,1,47.57906782502793
1248,1,180.7793989572618
1249,9,2676.783542582162
1250,10,2013.8753583437751
1251,46,15295.220194480182
1252,65,17886.872988204886
1253,81,30045.33684915249
1254,144,42443.34607777685
1255,185,58043.932693791525
1256,97,26006.28070474325
1257,153,46464.58328832759
1258,415,115009.30767069245
1259,200,70309.14408488713
1260,450,131508.627324144
1261,326,107837.94565914445
1262,535,156973.60737289244
1263,544,156807.60064000761
1264,572,167254.8581062558
1265,450,134877.02539816714
1266,717,208054.96542105672
1267,664,202615.92258439687
1268,664,170959.80631044315
1269,321,92312.75252927923
1270,195,40036.49329561669
1271,110,31677.23690699386
1272,43,18090.367111137642
1273,37,12733.780960719787
1274,53,19249.175101180677
1275,88,34225.183031212895
1276,176,57744.63475543275
1277,259,81505.11968574958
1278,428,134579.74501182206
1279,440,136571.41540284854
1280,387,125551.52869457973
1281,359,122641.76860964019
1282,394,127551.74396741657
1283,402,111657.64584515504
1284,467,124922.07866969264
1285,289,85165.69965232708
1286,230,73370.69663669795
1287,234,69280.78095440465
1288,153,40514.45747680037
1289,92,34666.18295261586
1290,66,18997.39023354967
1291,98,24227.08057732829
1292,61,17301.88005326895
1293,15,6380.12672098658
1294,10,2913.4791358814678
1295,30,9096.724730990929
1296,11,2196.5589078592934
1297,1,513.5312303102779
1298,0,0.0
1299,0,0.0
1300,0,0.0
1301,11,2883.031879211858
1302,11,2404.236857643294
1303,37,11274.463152212227
1304,106,29142.491365312475
1305,82,26954.979241772013
1306,93,27602.02019796032
1307,134,27507.646378752685
1308,44,16297.784560528802
1309,75,25170.854644572275
1310,279,76855.64375106558
1311,174,57457.62221428771
1312,390,109272.64352976545
1313,265,87627.77131881504
1314,329,92470.41486020925
1315,415,118132.0541270463
1316,340,111981.91600048424
1317,313,99292.28020988719
1318,464,139676.80114883842
1319,649,178281.2656194422
1320,411,125032.0338641758
1321,232,66086.01819071094
1322,126,41801.16696166461
1323,95,34310.90805875939
1324,55,21817.73602641149
1325,47,18868.48775974397
1326,58,21411.47482730064
1327,74,30567.70636510986
1328,164,52502.05178927394
1329,245,77427.22726552791
1330,390,127068.62232137233
1331,371,126144.20931299991
1332,395,117816.46833960782
1333,280,91829.86565545842
1334,297,84011.14118112138
1335,186,63481.65054316391
1336,297,84276.02967093732
1337,266,76314.74536385048
1338,209,62850.73072423946
1339,165,50427.86324031771
1340,50,18545.29678345292
1341,58,21058.595537869507
1342,91,23961.542547563473
1343,42,14702.797432661893
1344,31,11631.058967898402
1345,9,2707.8247526628056
1346,10,2957.2015168524895
1347,10,3398.263247200066
1348,6,1858.3805186976153
1349,10,3550.016931105997
1350,0,0.0
1351,0,0.0
1352,0,0.0
1353,0,0.0
1354,4,1414.7194043642521
1355,13,3493.3342378302627
1356,4,1734.178399281718
1357,24,7190.639150648543
1358,40,12447.846492108352
1359,44,15639.426937477554
1360,68,19695.488397447374
1361,72,21278.379824812055
1362,65,20557.43581783586
1363,119,36383.999092255486
1364,327,84618.86022659666
1365,211,64809.72512050412
1366,225,60620.38265988849
1367,175,58611.693930086585
1368,283,84938.88832990447
1369,266,86665.04678028215
1370,288,78109.67247757873
1371,345,108447.24437706503
1372,609,174804.0547294272
1373,518,149587.2447930614
1374,486,135782.35354614447
1375,181,62674.606576425984
1376,136,50356.14639713133
1377,167,53103.989836231965
1378,469,147482.3669601526
1379,280,72029.38929463034
1380,323,102682.4244094724
1381,184,52764.53203113606
1382,242,83005.11869606742
1383,291,81599.27415273876
1384,366,106120.3458728198
1385,451,123730.12627579429
1386,412,106450.50765086127
1387,331,95385.3411239361
1388,270,69388.94469966526
1389,286,78208.26651763728
1390,184,54569.40610204186
1391,162,49697.64870815424
1392,132,41435.97946044146
1393,113,44085.112553377905
1394,30,12142.412712320369
1395,33,12717.082679829133
1396,93,24753.94149722056
1397,56,19087.169616978998
1398,80,21937.294636135477
1399,27,7366.514969428241
1400,13,3537.371622632848
1401,14,4364.1741661237265
1402,11,3485.2992456652846
1403,8,2171.570115120662
1404,1,449.7200612297792
1405,0,0.0
1406,0,0.0
1407,0,0.0
1408,0,0.0
1409,1,455.7283740972135
1410,9,3498.156737059956
1411,3,1330.1645556168396
1412,16,3496.244254361889
1413,16,4617.55005864534
1414,19,6641.482441306224
1415,55,19090.060220948617
1416,42,16237.173648361379
1417,71,15842.725585094246
1418,114,43193.42688712045
1419,136,45993.78714233346
1420,88,25748.037675235693
1421,105,32438.52117179273
1422,198,55807.04942333807
1423,206,63175.43127097848
1424,201,70496.60539265102
1425,214,68461.03745912074
1426,225,70827.00178432158
1427,510,170503.52580048202
1428,463,134893.3500262449
1429,326,89175.2313582844
1430,109,39062.9038659511
1431,144,43649.917938688675
1432,141,42158.33548699916
1433,369,107273.85149046557
1434,313,111811.9836227944
1435,228,70605.42368549644
1436,263,90709.89682821323
1437,204,71247.91546584887
1438,202,59709.38071019278
1439,221,70158.42586928769
1440,268,88468.43947552863
1441,240,80571.61144660192
1442,258,102292.10571424013
1443,208,73172.42978338386
1444,139,49599.64747315531
1445,125,42204.59924627338
1446,120,38287.71724502074
1447,109,38442.34313842763
1448,146,42961.80501818489
1449,54,16529.760363053047
1450,40,11723.135904577945
1451,111,32071.609893680215
1452,108,32292.31303354457
1453,169,53825.50323774682
1454,128,30576.228335438682
1455,34,9989.016870849695
1456,29,7823.1881326287
