grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1162,34962.99661601597,3802520.015138603,495.58451875113565,文艺路,141.72613213659278,长胜街中段
1163,34962.99661601597,3803020.015138603,450.00306388541884,和平门,363.7059056772322,文昌门
1164,34962.99661601597,3803520.015138603,635.2661604430965,和平门,389.30229968332037,文昌门
1165,34962.99661601597,3804020.015138603,500.0231446157836,大差市,231.47643599207026,端履门
1166,34962.99661601597,3804520.015138603,613.9627280980361,大差市,212.11565160825194,新城广场
1167,34962.99661601597,3805020.015138603,587.2279881176528,五路口,307.3473036983985,革命公园
1168,34962.99661601597,3805520.015138603,565.9242689868821,五路口,177.9366950103746,革命公园
1169,34962.99661601597,3806020.015138603,581.932670659868,西安,130.16918346017653,火车站西
1170,34962.99661601597,3806520.015138603,602.7815441687784,西安,81.61711517786145,建强路自强路口
1171,34962.99661601597,3807020.015138603,942.3616857659629,西安,50.40176428182107,红庙坡路东口
1172,34962.99661601597,3807520.015138603,855.5915231748771,龙首原,190.67063045770746,拾翠路龙首北路口
1173,34962.99661601597,3808020.015138603,825.6735384450507,龙首原,2.0433774094507067,拾翠路中段
1174,34962.99661601597,3808520.015138603,1045.520951996445,大明宫西,170.56670761469067,福殿路政法巷口
1175,34962.99661601597,3809020.015138603,771.8902145440002,大明宫西,136.33895409401686,福殿路仙居巷口
1176,34962.99661601597,3809520.015138603,773.6374768287875,大明宫西,142.69789273343906,公交六公司东区
1177,34962.99661601597,3810020.015138603,827.9864764581368,市第三医院,167.3008098206291,开元路凤城一路口
1178,34962.99661601597,3810520.015138603,558.5101993556758,市第三医院,87.1876434564729,开元路凤城二路口
1179,34962.99661601597,3811020.015138603,662.0465847439082,市第三医院,49.1855737446209,开元路凤城三路口
1180,34962.99661601597,3811520.015138603,780.4785602042595,凤城五路,22.878222482350356,开元路凤城四路口
